DATASET,GAME_ID,DATE,TEAM,VENUE,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,OT5,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,"TO
TO",BL,PTS,POSS,PACE,OEFF,DEFF,"TEAM
REST DAYS",STARTING LINEUPS,,,,,MAIN REF,CREW,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,"LINE 
MOVEMENT #1","LINE 
MOVEMENT #2","LINE 
MOVEMENT #3","CLOSING
ODDS",CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,HALFTIME,"BOX SCORE
URL","ODDS
URL"
NBA 2018-2019 Regular Season,21800695,1/21/19,Atlanta,H,31,26,21,25,,,,,,103,240,39,86,9,30,16,23,9,35,44,23,24,5,13,14,3,103,99.8,99.8,103.2,122.2,1,Taurean Prince,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,,Matt Boland,PK,0,220,PK ,-6,-2,-7,-2,221.5,-140,,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800696,1/21/19,Sacramento,R,23,37,25,9,,,,,,94,240,39,93,10,25,6,11,10,27,37,26,20,8,14,14,4,94,101.2,101.2,92.8,121.5,1,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Ron Garretson,John Goble,230,2.5,230,230,231,232,231,3.5,231,132,114,,
NBA 2018-2019 Regular Season,21800696,1/21/19,Brooklyn,H,29,26,38,30,,,,,,123,240,45,90,13,35,20,24,12,44,56,25,15,9,16,17,4,123,101.2,101.2,121.5,92.8,2,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,,Derek Richardson,-2.5,-2.5,230,-2.5,-18,-4,-3.5,-3.5,231,-152,,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800697,1/21/19,New Orleans,R,21,33,28,23,,,,,,105,240,39,74,9,26,18,26,7,43,50,19,17,8,19,19,7,105,95.5,95.5,110,89,2,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Scott Foster,Justin Van Duyne,217.5,3.5,217.5,217.5,219,222,221.5,3,221.5,130,107.5,,
NBA 2018-2019 Regular Season,21800697,1/21/19,Memphis,H,28,22,18,17,,,,,,85,240,33,88,9,35,10,17,10,25,35,21,19,10,11,12,1,85,95.5,95.5,89,110,3IN4,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,,Derrick Collins,-3.5,-3.5,217.5,-18,-8, -2 -15,-3,-3,221.5,-150,,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800698,1/21/19,Miami,R,23,27,18,31,,,,,,99,240,36,86,11,35,16,18,10,28,38,25,16,11,19,20,5,99,99.3,99.3,99.7,107.7,3IN4,Rodney McGruder,James Johnson,Hassan Whiteside,Justise Winslow,Josh Richardson,David Guthrie,Brent Barnaky,215,8,215,212.5,213.5,212.5,212.5u12,9.5,212.5,351,105,,
NBA 2018-2019 Regular Season,21800698,1/21/19,Boston,H,33,17,37,20,,,,,,107,240,43,87,12,30,9,10,8,28,36,26,21,13,19,19,7,107,99.3,99.3,107.7,99.7,3IN4,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,,Haywoode Workman,-8,-8,215,-23.5,-13.5, -9 -15,-9.5,-9.5,212.5,-450,,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800699,1/21/19,Houston,R,26,24,13,30,,,,,,93,240,31,86,11,42,20,26,6,32,38,14,25,9,12,12,6,93,102.1,102.1,91.1,118.5,1,Eric Gordon,PJ Tucker,Nene,Austin Rivers,James Harden,Mike Callahan,Scott Twardoski,234,4,234,233.5,235,234.5,234,4.5,234,160,,,
NBA 2018-2019 Regular Season,21800699,1/21/19,Philadelphia,H,30,35,29,27,,,,,,121,240,43,88,8,23,27,33,10,45,55,21,22,9,13,13,14,121,102.1,102.1,118.5,91.1,1,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,,Leroy Richardson,-4,-4,234,-4.5,-3.5,-4,-4.5,-4.5,234,-185,114.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800700,1/21/19,Portland,R,29,15,39,26,,,,,,109,240,45,90,8,18,11,15,7,37,44,30,22,6,8,11,9,109,101,101,107.9,102.9,2,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Eric Lewis,Brandon Adair,216.5u07,4,216.5,217.5,218,217,218.5,5,218.5,188,113,,
NBA 2018-2019 Regular Season,21800700,1/21/19,Utah,H,28,23,28,25,,,,,,104,240,36,91,7,33,25,31,13,35,48,21,19,5,15,15,8,104,101,101,102.9,107.9,2,Joe Ingles,Jae Crowder,Derrick Favors,Royce O'Neale,Donovan Mitchell,,Gediminas Petraitis,-4,-4,216.5,-17.5,-10,-5,-20,-5,218.5,-225,,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800701,1/21/19,Golden State,R,29,36,45,20,,,,,,130,240,50,98,16,37,14,19,13,37,50,41,27,8,10,12,6,130,105.4,105.4,123.4,105.3,2,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,Jason Phillips,Tyler Ford,-10.5,-10.5,235,-12,-17.5,-12.5,-13.5,-13.5,232.5,-1400,112,,
NBA 2018-2019 Regular Season,21800701,1/21/19,LA Lakers,H,24,31,25,31,,,,,,111,240,42,84,5,20,22,38,7,35,42,20,19,1,14,15,4,111,105.4,105.4,105.3,123.4,1,Josh Hart,Kyle Kuzma,Tyson Chandler,Kentavious Caldwell-Pope,Brandon Ingram,,J.T. Orr,235,10.5,235,232o18,232.5,233,232.5,13.5,232.5,837,,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800702,1/22/19,Sacramento,R,34,22,22,27,,,,,,105,240,41,91,7,21,16,22,10,33,43,29,27,8,14,14,7,105,104,104,100.9,115.3,3IN4-B2B,Bogdan Bogdanovic,Marvin Bagley III,Willie Cauley-Stein,Buddy Hield,Yogi Ferrell,Michael Smith,Brett Nansel,227.5,10,227.5,227o14,226.5, 226.5o14,226.5o13,11,226.5,520,111.5,,
NBA 2018-2019 Regular Season,21800702,1/22/19,Toronto,H,29,31,28,32,,,,,,120,240,40,91,16,40,24,35,12,34,46,25,21,7,16,16,5,120,104,104,115.3,100.9,2,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,,Kane Fitzgerald,-10,-10,227.5,-33,-30, -11 -13,-26,-11,226.5,-725,-20.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800703,1/22/19,Portland,R,25,30,32,27,,,,,,114,240,43,95,10,36,18,22,20,32,52,21,20,7,19,20,3,114,100,100,114,123,B2B,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Rodney Mott,Ashley Moyer-Gleich,229,5,229,225,226,225,224o11,4,224,148,115.5,,
NBA 2018-2019 Regular Season,21800703,1/22/19,Oklahoma City,H,25,37,31,30,,,,,,123,240,43,85,11,23,26,33,9,28,37,26,20,16,10,11,4,123,100,100,123,114,3IN4-B2B,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,,Josh Tiven,-5,-5,229,-18,-4.5,-4,-9,-4,224,-170,115,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800704,1/22/19,LA Clippers,R,29,27,17,25,,,,,,98,240,33,91,10,36,22,29,14,27,41,19,26,4,7,8,4,98,94.2,94.2,104.1,112.6,1,Avery Bradley,Tobias Harris,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Sean Wright,Justin Van Duyne,223.5,3.5,223.5,222,222o16 ,223,223.5,3,223.5,131,109.5u20,,
NBA 2018-2019 Regular Season,21800704,1/22/19,Dallas,H,26,32,20,28,,,,,,106,240,38,81,10,34,20,29,9,39,48,21,25,5,11,13,6,106,94.2,94.2,112.6,104.1,3IN4-B2B,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,,Nick Buchert,-3.5,-3.5,223.5,-19,-8.5, -3 -05,-14,-3,223.5,-151,-16.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800705,1/22/19,Minnesota,R,32,32,29,25,,,,,,118,240,45,103,15,42,13,19,20,44,64,30,18,7,14,15,1,118,101.5,101.5,116.3,89.7,1,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,JB DeRosa,Kevin Cutler,-6,-6,228.5,-11.5,-9.5, -4 -07,-4,-4,232.5,-175,+2.5 EVEN,,
NBA 2018-2019 Regular Season,21800705,1/22/19,Phoenix,H,27,22,22,20,,,,,,91,240,37,87,7,34,10,18,5,29,34,23,17,6,13,14,9,91,101.5,101.5,89.7,116.3,3IN4,Mikal Bridges,T.J. Warren,Dragan Bender,Devin Booker,De'Anthony Melton,,Eric Lewis,228.5,6,228.5,232,232.5,231.5,232.5,4,232.5,151,112.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800706,1/23/19,Toronto,R,16,31,28,31,,,,,,106,240,38,92,12,39,18,23,10,35,45,28,22,2,9,9,5,106,96.2,96.2,110.2,114.3,B2B,Danny Green,Pascal Siakam,Serge Ibaka,Fred VanVleet,Kyle Lowry,Mike Callahan,CJ Washington,219.5,4,219.5,217.5,217, 217u12,217,6,217,222,106o15,,
NBA 2018-2019 Regular Season,21800706,1/23/19,Indiana,H,24,35,25,26,,,,,,110,240,40,92,9,26,21,25,12,36,48,27,23,6,6,7,7,110,96.2,96.2,114.3,110.2,2,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,,Brian Forte,-8,-4,219.5,-6,-18,-6,-21,-6,217,-270,-13.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800707,1/23/19,Cleveland,R,30,20,30,23,,,,,,103,240,38,87,13,30,14,20,15,29,44,20,18,4,20,21,4,103,99.4,99.4,103.6,123.8,1,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,Ron Garretson,Jason Goldenberg,216,17.5,216,215,214, 212.5u16,213,15.5,213,1198,110.5u15,,
NBA 2018-2019 Regular Season,21800707,1/23/19,Boston,H,27,38,27,31,,,,,,123,240,45,86,12,25,21,23,9,34,43,25,20,12,14,14,5,123,99.4,99.4,123.8,103.6,1,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,,Matt Boland,-17.5,-17.5,216,-20,-15,-14.5,-15.5,-15.5,213,-2600,-4.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800708,1/23/19,Orlando,R,25,31,30,24,,,,,,110,240,38,89,11,34,23,28,11,31,42,22,19,7,13,13,11,110,100.9,100.9,109.1,113,1,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Marc Davis,Phenizee Ransom,217,6,217,218o21,219,218.5,217.5,5,217.5,172,107,,
NBA 2018-2019 Regular Season,21800708,1/23/19,Brooklyn,H,26,30,33,25,,,,,,114,240,43,90,10,32,18,23,12,33,45,20,22,7,16,17,2,114,100.9,100.9,113,109.1,1,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,,Tony Brown,-11,-6,217,-5.5,-10.5,-5.5,-5,-5,217.5,-205,-3.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800709,1/23/19,LA Clippers,R,27,27,23,34,,,,,,111,240,45,85,7,22,14,21,7,34,41,23,20,5,7,7,3,111,92.7,92.7,119.8,106.8,3IN4-B2B,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Derek Richardson,Zach Zarba,217u11,5,217,216.5,215.5, 216.5u13,216,5.5,216,192,106.5,,
NBA 2018-2019 Regular Season,21800709,1/23/19,Miami,H,31,23,18,27,,,,,,99,240,39,83,8,28,13,22,12,28,40,23,19,3,14,14,3,99,92.7,92.7,106.8,119.8,1,Tyler Johnson,James Johnson,Hassan Whiteside,Josh Richardson,Justise Winslow,,Derrick Collins,-5,-5,217,-19.5,-5, -5 -21,-5.5,-5.5,216,-230,-18.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800710,1/23/19,Houston,R,28,30,30,26,,,,,,114,240,37,90,11,44,29,38,15,29,44,10,25,15,12,13,10,114,101,101,112.8,108.9,1,Eric Gordon,PJ Tucker,Kenneth Faried,James Harden,Austin Rivers,Pat Fraher,Natalie Sago,-7,-7,226,-16.5,-8, -8 -05,-8,-8,227.5,-345,-23,,
NBA 2018-2019 Regular Season,21800710,1/23/19,New York,H,31,32,15,32,,,,,,110,240,37,81,11,30,25,30,10,38,48,15,23,5,18,19,7,110,101,101,108.9,112.8,1,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Emmanuel Mudiay,,Brent Barnaky,226,7,226,226o15,226.5,227,227.5,8,227.5,277,112,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800711,1/23/19,San Antonio,R,35,29,32,24,,,,,,120,240,47,82,13,27,13,15,5,31,36,24,15,8,15,15,6,120,96.8,96.8,124,126.1,2,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Derrick White,Bryn Forbes,Tom Washington,Mitchell Ervin,226,2,226,225,225.5,224.5,225.5,4,225.5,151,115.5,,
NBA 2018-2019 Regular Season,21800711,1/23/19,Philadelphia,H,34,33,29,26,,,,,,122,240,47,93,17,36,11,14,13,29,42,35,14,9,11,12,5,122,96.8,96.8,126.1,124,1,Corey Brewer,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,,Curtis Blair,-2,-2,226,-23.5,-3.5, -3.5 -26,-19,-4,225.5,-175,-16.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800712,1/23/19,Atlanta,R,42,24,32,23,,,,,,121,240,45,90,15,40,16,21,16,35,51,31,20,11,17,17,2,121,97.8,97.8,123.7,103.3,1,Taurean Prince,John Collins,Dewayne Dedmon,DeAndre' Bembry,Trae Young,Josh Tiven,Ray Acosta,221.5,2.5,221.5,223.5,224,223.5,225,1.5,225,100,109,,
NBA 2018-2019 Regular Season,21800712,1/23/19,Chicago,H,25,35,23,18,,,,,,101,240,35,79,8,26,23,27,7,30,37,20,21,7,15,15,6,101,97.8,97.8,103.3,123.7,1,Chandler Hutchison,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,,Gediminas Petraitis,-2.5,-2.5,221.5,-13,-1.5, -1 -05,-1.5,-1.5,225,-120,-2.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800713,1/23/19,Charlotte,R,23,35,28,32,,,,,,118,240,41,77,12,30,24,31,5,32,37,23,19,8,9,9,2,118,93.8,93.8,125.8,114.1,2,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Ken Mauer,Haywoode Workman,210,1,210,208,208.5,209.5,208.5,1.5,208.5,-105,103,,
NBA 2018-2019 Regular Season,21800713,1/23/19,Memphis,H,22,32,22,31,,,,,,107,240,38,81,9,31,22,24,6,32,38,25,25,8,10,11,3,107,93.8,93.8,114.1,125.8,1,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,,Marat Kogut,-1,-1,210,-2,-17, -1.5 -15,-1.5,-1.5,208.5,-115,-22,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800714,1/23/19,Detroit,R,31,26,22,19,,,,,,98,240,36,89,13,39,13,19,9,40,49,24,15,5,9,9,3,98,96.6,96.6,101.4,97.3,1,Reggie Bullock,Blake Griffin,Zaza Pachulia,Bruce Brown,Reggie Jackson,Scott Wall,Aaron Smith,221,4,221,221.5,222.5u16 ,222.5,222,5,222,170,108.5,,
NBA 2018-2019 Regular Season,21800714,1/23/19,New Orleans,H,28,19,23,24,,,,,,94,240,42,91,6,22,4,9,8,41,49,20,18,3,12,12,9,94,96.6,96.6,97.3,101.4,1,E'Twaun Moore,Julius Randle,Jahlil Okafor,Jrue Holiday,Elfrid Payton,,Courtney Kirkland,-4,-4,221,-25,-17.5, -4.5 -11,-5,-5,222,-200,-6,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800715,1/23/19,Denver,R,24,34,22,28,,,,,,108,240,42,88,8,27,16,20,12,38,50,20,25,7,14,16,9,108,98.1,98.1,110.1,116.2,3+,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,JB DeRosa,Tyler Ford,217.5,3,217.5,216.5,216, 216u12,216.5,4.5,216.5,155,107,,
NBA 2018-2019 Regular Season,21800715,1/23/19,Utah,H,30,35,23,26,,,,,,114,240,38,88,19,46,19,27,12,28,40,28,20,7,13,13,7,114,98.1,98.1,116.2,110.1,1,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,,Jason Phillips,-3,-3,217.5,-4.5,-4, -4.5 -05,-19.5,-4.5,216.5,-180,PK,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800716,1/24/19,Golden State,R,37,30,37,22,,,,,,126,240,50,88,7,20,19,21,8,42,50,34,21,5,15,15,6,126,102.9,102.9,122.4,114.6,2,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,James Capers,Leroy Richardson,-9,-9,234.5,-17,-22, -9 -15,-14,-9,235,-450,-23,,
NBA 2018-2019 Regular Season,21800716,1/24/19,Washington,H,28,31,33,26,,,,,,118,240,44,95,15,42,15,21,9,27,36,29,22,7,10,10,2,118,102.9,102.9,114.6,122.4,2,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,,Rodney Mott,234.5,9,234.5,234.5,234.5o15 , 235o15,235,9,235,351,115.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800717,1/24/19,New Orleans,R,28,25,29,34,,,,,,116,240,49,101,10,36,8,12,8,34,42,34,16,7,12,12,6,116,107.3,107.3,108.1,113.7,3IN4-B2B,Darius Miller,Solomon Hill,Jahlil Okafor,Jrue Holiday,Elfrid Payton,Eric Lewis,Tre Maddox,237,11.5,237,230.5o16,231, 230o11,231,14,231,947,110.5,,
NBA 2018-2019 Regular Season,21800717,1/24/19,Oklahoma City,H,28,37,33,24,,,,,,122,240,50,101,14,32,8,16,14,43,57,33,15,8,14,14,2,122,107.3,107.3,113.7,108.1,3IN4,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,,Eric Dalen,-11.5,-11.5,237,-25.5,-28.5,-14,-29,-14,231,-1700,-19.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800718,1/24/19,Portland,R,30,26,32,32,,,,,,120,240,44,94,12,26,20,20,14,39,53,25,24,8,16,17,8,120,103.2,103.2,116.3,102.7,3IN4,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Kevin Scott,Matt Myers,-7.5,-7.5,226.5,-12,-8,-8.5,-23.5,-8.5,220.5,-450,-24.5,,
NBA 2018-2019 Regular Season,21800718,1/24/19,Phoenix,H,31,21,24,30,,,,,,106,240,36,88,13,38,21,27,9,30,39,19,22,9,16,16,4,106,103.2,103.2,102.7,116.3,1,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,De'Anthony Melton,,James Williams,226.5,7.5,226.5,219.5,219,219.5,220.5,8.5,220.5,351,112.5o15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800719,1/24/19,Minnesota,R,28,30,26,36,,,,,,120,240,44,102,10,33,22,25,22,33,55,24,15,8,12,14,3,120,101.2,101.2,118.5,103.7,1,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Derrick Rose,Mark Ayotte,Justin Van Duyne,-1.5,-1.5,229,230,231, 231u14,230.5,2.5,230.5,115,112.5,,
NBA 2018-2019 Regular Season,21800719,1/24/19,LA Lakers,H,29,32,21,23,,,,,,105,240,44,87,8,28,9,14,9,30,39,28,23,5,19,20,5,105,101.2,101.2,103.7,118.5,2,Brandon Ingram,Kyle Kuzma,Ivica Zubac,Kentavious Caldwell-Pope,Rajon Rondo,,Sean Wright,229,1.5,229,-2.5,-2.5 EVEN , -2.5 -03,-7.5,-2.5,230.5,-135,-5.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800720,1/25/19,Washington,R,24,26,25,20,,,,,,95,240,35,79,15,27,10,12,5,33,38,26,15,9,12,12,1,95,90.7,90.7,104.8,100.4,B2B,Trevor Ariza,Jeff Green,Thomas Bryant,Bradley Beal,Tomas Satoransky,Scott Wall,Derek Richardson,217.5,4,217.5,219,218,218.5,217.5,3,217.5,140,107u20,,
NBA 2018-2019 Regular Season,21800720,1/25/19,Orlando,H,21,17,31,22,,,,,,91,240,38,84,7,33,8,12,13,39,52,24,10,3,16,16,4,91,90.7,90.7,100.4,104.8,1,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,,Tom Washington,-4,-4,217.5,-17.5,-3, -3 -05,-18,-3,217.5,-160,-5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800721,1/25/19,New York,R,37,23,22,17,,,,,,99,240,37,87,8,31,17,26,6,27,33,17,31,12,8,8,11,99,100.1,100.1,98.9,108.9,1,Kevin Knox,Lance Thomas,Noah Vonleh,Tim Hardaway Jr.,Frank Ntilikina,Mike Callahan,CJ Washington,224,9.5,224,223,221.5o21 ,221.5,221,8.5,221,330,109u20,,
NBA 2018-2019 Regular Season,21800721,1/25/19,Brooklyn,H,30,30,27,22,,,,,,109,240,34,84,9,33,32,47,18,42,60,19,21,5,19,20,2,109,100.1,100.1,108.9,98.9,1,Rodions Kurucs,Treveon Graham,Jarrett Allen,Joe Harris,D'Angelo Russell,,Scott Twardoski,-9.5,-9.5,224,-9.5,-9, -9 -05,-8.5,-8.5,221,-420,-25.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800722,1/25/19,Miami,R,27,21,32,20,,,,,,100,240,37,79,9,23,17,25,11,36,47,19,18,6,14,14,4,100,92.3,92.3,108.3,101.8,1,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Justise Winslow,Tony Brown,Ray Acosta,-8.5,-8.5,210,-8.5,-13.5, -8.5 -08,-8.5,-8.5,207.5,-400,-7.5,,
NBA 2018-2019 Regular Season,21800722,1/25/19,Cleveland,H,23,30,17,24,,,,,,94,240,37,85,10,30,10,13,9,33,42,23,21,8,13,13,2,94,92.3,92.3,101.8,108.3,1,Rodney Hood,Cedi Osman,Ante Zizic,Alec Burks,Collin Sexton,,John Goble,210,8.5,210,208,207,206.5,207.5,8.5,207.5,317,103.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800723,1/25/19,LA Clippers,R,27,25,28,26,,,,,,106,240,38,82,8,21,22,29,5,45,50,27,14,3,16,16,4,106,103.9,103.9,102,97.2,3IN4,Avery Bradley,Tobias Harris,Marcin Gortat,Patrick Beverley,Shai Gilgeous-Alexander,Scott Foster,Jason Goldenberg,-5,-5,220.5,-10,-4.5, -4.5 -05,-19.5,-4.5,223,-210,-20,,
NBA 2018-2019 Regular Season,21800723,1/25/19,Chicago,H,20,36,26,19,,,,,,101,240,40,102,10,35,11,12,12,37,49,20,23,11,8,11,5,101,103.9,103.9,97.2,102,1,Chandler Hutchison,Lauri Markkanen,Bobby Portis,Zach LaVine,Kris Dunn,,J.T. Orr,220.5,5,220.5,222,223,222.5,223,4.5,223,176,108.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800724,1/25/19,Toronto,R,20,41,28,30,,,,,,119,240,44,91,14,36,17,18,12,35,47,27,25,4,19,21,1,119,103.3,103.3,115.2,117.1,3IN4,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,Courtney Kirkland,Aaron Smith,-5,-1,228,-3.5,-8.5,-3.5,-18.5,-3.5,228,-165,-19.5,,
NBA 2018-2019 Regular Season,21800724,1/25/19,Houston,H,33,37,26,25,,,,,,121,240,41,91,10,46,29,33,12,28,40,17,21,11,12,12,5,121,103.3,103.3,117.1,115.2,1,Eric Gordon,PJ Tucker,Kenneth Faried,Austin Rivers,James Harden,,Zach Zarba,228,1,228,229,228, 228o16,228,3.5,228,144,112o15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800725,1/25/19,Sacramento,R,24,24,29,22,,,,,,99,240,37,91,12,33,13,17,12,37,49,23,25,11,17,19,5,99,99.6,99.6,99.4,96.4,2,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Tony Brothers,Phenizee Ransom,213.5,0,213.5,214,214.5,215,214,2,214,115,105o20,,
NBA 2018-2019 Regular Season,21800725,1/25/19,Memphis,H,23,19,29,25,,,,,,96,240,34,80,6,20,22,27,9,35,44,22,22,13,16,16,5,96,99.6,99.6,96.4,99.4,1,Garrett Temple,Jaren Jackson Jr.,Marc Gasol,Justin Holiday,Mike Conley,,Kevin Cutler,PK,0,213.5,-17,-8, -2 -05,-17,-2,214,-135,-2.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800726,1/25/19,Detroit,R,28,26,31,16,,,,,,101,240,35,85,12,38,19,25,13,33,46,22,26,6,12,13,0,101,93.1,93.1,108.5,113.9,1,Reggie Bullock,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,JB DeRosa,David Guthrie,209,5,209,207,207.5,207,207.5,4.5,207.5,176,101.5,,
NBA 2018-2019 Regular Season,21800726,1/25/19,Dallas,H,23,39,26,18,,,,,,106,240,37,81,14,36,18,30,9,34,43,24,25,8,9,10,6,106,93.1,93.1,113.9,108.5,2,Wesley Matthews,Harrison Barnes,DeAndre Jordan,Luka Doncic,Dennis Smith Jr.,,Matt Boland,-5,-5,209,-9.5,-5, -5 -15,-4.5,-4.5,207.5,-210,-0.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800727,1/25/19,Charlotte,R,27,27,33,12,,,,,,99,240,36,90,10,39,17,25,12,41,53,20,19,4,17,17,2,99,103.7,103.7,95.5,104.2,1,Nicolas Batum,Marvin Williams,Bismack Biyombo,Jeremy Lamb,Kemba Walker,Ron Garretson,Jonathan Sterling,228.5,11,228.5,229.5,230.5,229.5,230,11,230,614,111.5,,
NBA 2018-2019 Regular Season,21800727,1/25/19,Milwaukee,H,22,30,24,32,,,,,,108,240,41,89,6,31,20,23,6,40,46,17,18,9,11,12,6,108,103.7,103.7,104.2,95.5,3+,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,,Jason Phillips,-11,-11,228.5,-23,-11.5, -11.5 -15,-11,-11,230,-900,-23.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800728,1/25/19,Phoenix,R,32,23,26,14,,,,,,95,240,32,76,7,30,24,26,2,33,35,20,25,4,15,16,7,95,100.7,100.7,94.3,131.1,3IN4-B2B,Mikal Bridges,Josh Jackson,Dragan Bender,Devin Booker,Elie Okobo,Ken Mauer,Jacyn Goble,221.5,15,221.5,224,222.5,221.5,222,14.5,222,1098,107o20,,
NBA 2018-2019 Regular Season,21800728,1/25/19,Denver,H,37,33,28,34,,,,,,132,240,47,94,15,36,23,29,16,41,57,26,20,9,12,12,1,132,100.7,100.7,131.1,94.3,1,Will Barton,Paul Millsap,Mason Plumlee,Gary Harris,Jamal Murray,,Marat Kogut,-15,-15,221.5,-29.5,-14.5, -15 -15,-14.5,-14.5,222,-2200,-4,BOX SCORE,ODDS
