Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
113,2006,NBA,1,23,NJN,Josh Boone,21.224,F-C,us,UConn,2007,2010,256,17.5,5.2,4.9,0.5,0.4,0.7,0.544,0.544,,0.445,9.1,0.097
114,2006,NBA,1,24,MEM,Kyle Lowry,20.1,G,us,Villanova,2007,2020,908,31.6,14.7,4.3,6.2,1.4,0.3,0.423,0.471,0.366,0.809,93.5,0.157
115,2006,NBA,1,25,CLE,Shannon Brown,20.216,G,us,Michigan State,2007,2015,408,18,7.6,1.9,1.1,0.7,0.2,0.42,0.456,0.332,0.807,9.2,0.06
116,2006,NBA,1,26,LAL,Jordan Farmar,19.215,G,us,UCLA,2007,2017,504,19.5,7.7,1.9,2.9,0.8,0.1,0.423,0.463,0.374,0.739,13.9,0.068
117,2006,NBA,1,27,PHO,Sergio Rodríguez,20.021,G,es,NA,2007,2017,353,15,4.9,1.5,3.4,0.6,0,0.409,0.451,0.337,0.739,4.3,0.039
118,2006,NBA,1,28,DAL,Maurice Ager,22.145,G,us,Michigan State,2007,2011,82,6.2,2.1,0.6,0.2,0.1,0.1,0.339,0.366,0.25,0.566,-0.9,-0.089
119,2006,NBA,1,29,NYK,Mardy Collins,21.333,G,us,Temple,2007,2010,189,14.7,3.9,1.8,1.7,0.6,0.1,0.38,0.396,0.299,0.599,-1.6,-0.027
120,2006,NBA,1,30,POR,Joel Freeland,19.146,F-C,gb,NA,2013,2015,151,12.1,3.2,3.4,0.4,0.2,0.4,0.459,0.461,0,0.728,3.2,0.084
121,2005,NBA,1,1,MIL,Andrew Bogut,20.217,C,au,Utah,2006,2019,706,28.1,9.6,8.7,2.2,0.6,1.5,0.535,0.537,0.12,0.557,50.6,0.122
122,2005,NBA,1,2,ATL,Marvin Williams,19.014,F,us,UNC,2006,2020,1066,28.2,10.3,5.2,1.3,0.8,0.5,0.443,0.482,0.362,0.808,64.8,0.104
123,2005,NBA,1,3,UTA,Deron Williams,21.007,G,us,Illinois,2006,2017,845,34.2,16.3,3.1,8.1,1,0.2,0.445,0.482,0.357,0.822,77.3,0.129
124,2005,NBA,1,4,NOH,Chris Paul,20.058,G,us,Wake Forest,2006,2020,1013,34.9,18.5,4.5,9.5,2.2,0.1,0.47,0.507,0.37,0.87,179.5,0.244
125,2005,NBA,1,5,CHA,Raymond Felton,21.007,G,us,UNC,2006,2019,971,29.7,11.2,3,5.2,1.2,0.2,0.412,0.445,0.329,0.79,40.2,0.067
126,2005,NBA,1,6,POR,Martell Webster,18.211,G-F,us,NA,2006,2015,580,24,8.7,3.1,1,0.5,0.3,0.418,0.454,0.382,0.791,24.7,0.085
